YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather
1864-01-02	23	-16.82	-10.67	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	5		72	bc
1864-01-02	24	-16.82	-10.78	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	5	30.06	72	bc
1864-01-03	1	-16.82	-10.88	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	5		72	bc
1864-01-03	2	-16.82	-10.98	281.25		5.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	5		72	bc
1864-01-03	3	-16.83	-11.09	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	5		72	bc
1864-01-03	4	-16.83	-11.19	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	5	30.02	72	bc
1864-01-03	5	-16.83	-11.29	281.25		5.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	5		70	bc
1864-01-03	6	-16.83	-11.40	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	2		70	bc
1864-01-03	7	-16.83	-11.49	281.25		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	2		70	bc
1864-01-03	8	-16.82	-11.57	281.25		4.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-015.JPG	 					wxn	135	112	2		70	bc
