YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Ships	Other
1907-05-27	9	28.16	-159.7	337.5		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	360	24	29.92	66	oc		
1907-05-27	10	28.26	-159.72	337.5		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	1	24	29.94	66	oc		
1907-05-27	11	28.39	-159.75	337.5		8.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	1	24	29.94	66	oc		
1907-05-27	12	28.53	-159.78	337.5		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 			28 32N	159 47W	NNW	349	1	24	29.94	66	bc		
1907-05-27	13	28.65	-159.79	337.5		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	1	24	29.94	66	bc		
1907-05-27	14	28.8	-159.8	337.5		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	1	19	29.96	66	bc		
1907-05-27	15	28.94	-159.81	337.5		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	1	19	29.96	66	bc		
1907-05-27	16	29.07	-159.82	337.5		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW	349	1	19	29.96	66	bc		
1907-05-27	17	29.18	-159.83	337.5		7.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	1730: NNW1/8W					NNW	349	1	19	29.96	64	bc		
1907-05-27	18	29.31	-159.84	336.09		8.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW1/8W	349	1	19	29.96	64	bc		
1907-05-27	19	29.44	-159.85	336.09		8.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW1/8W	349	1	19	29.98	64	bc		
1907-05-27	20	29.57	-159.87	336.09		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 			29 34N	159 52W	NNW1/8W	349	1	19	30.00	64	bc		
1907-05-27	21	29.71	-159.91	336.09		9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW1/8W	349	1	19	30.02	62	bc		
1907-05-27	22	29.86	-159.95	336.09		9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW1/8W	349	1	19	30.04	62	bc		
1907-05-27	23	30.01	-160	336.09		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4048/24404877/content/dc-metro/rg-026/585454/0001-A1/Manning-1907/Manning-1907_0154.JPG	 					NNW1/8W	349	1	19	30.02	62	bc		
