YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Clouds	Amount	Ships
1905-06-07	13	48.93	-129	wsw 1/4 w		10.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.9261	-129	wsw 1/4 w	292	316	19	30.16	52	c	scu	9	
1905-06-07	14	48.97	-129.28	wsw 1/4 w		11.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			48.9723	-129.279	wsw 1/4 w	292	316	19	30.18	52	c	scu	9	
1905-06-07	15	49.02	-129.55	wsw 1/4 w		11.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.0183	-129.554	wsw 1/4 w	315	339	19	30.18	52	c	cun	9	
1905-06-07	16	49.06	-129.84	wsw 1/4 w		11.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.0647	-129.838	wsw 1/4 w	292	316	19	30.18	52	c	cun	9	
1905-06-07	17	49.11	-130.12	wsw 1/4 w		11.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.111	-130.118	wsw 1/4 w	292	316	19	30.18	52	c	cun	9	
1905-06-07	18	49.16	-130.41	wsw 1/4 w		11.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.1576	-130.406	wsw 1/4 w	292	318	19	30.18	52	c	cun	9	
1905-06-07	19	49.2	-130.69	wsw 1/4 w		11.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.2039	-130.689	wsw 1/4 w	292	318	19	30.18	52	c	cun	10	
1905-06-07	20	49.25	-130.97	wsw 1/4 w		11.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49 15N	130 58W	wsw 1/4 w	292	318	19	30.19	52	c	cun	10	
1905-06-07	21	49.28	-131.22	wsw 1/4 w		11.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.2846	-131.22	wsw 1/4 w	281	306	19	30.20	50	c	cun	10	
1905-06-07	22	49.32	-131.47	wsw 1/4 w		11.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.3192	-131.472	wsw 1/4 w	281	306	8	30.20	50	f	cun	10	
1905-06-07	23	49.35	-131.73	wsw 1/4 w		11.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.3539	-131.728	wsw 1/4 w	281	306	8	30.20	50	f	cun	9	
1905-06-07	24	49.39	-131.98	wsw 1/4 w		11.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0162.JPG	 			49.3884	-131.98	wsw 1/4 w	270	295	8	30.20	50	f	cun	10	
1905-06-08	1	49.43	-132.25	wsw 1/2 w		11.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	 			49.4334	-132.246	wsw 1/2 w	270	295	5	30.20	48	c	cun	10	
1905-06-08	2	49.48	-132.49	wsw 1/2 w		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	 			49.4765	-132.489	wsw 1/2 w	270	295	5	30.20	50	c	cun	10	
1905-06-08	3	49.52	-132.74	wsw 1/2 w		11.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	 			49.5204	-132.742	wsw 1/2 w	270	295	5	30.20	50	bc	cun	8	
1905-06-08	4	49.56	-133	wsw 1/2 w		11.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	 			49.5643	-132.996	wsw 1/2 w	270	295	5	30.20	50	f	cun	9	
1905-06-08	5	49.61	-133.26	wsw 1/2 w		11.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/4041/24404117/content/dc-metro/rg-026/585454/0001-A1/Manning-1905/Manning-1905_0163.JPG	 			49.6089	-133.257	wsw 1/2 w	270	295	5	30.20	50	f	cun	10	
