YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Clouds	Amount	Flora&Fauna	Ships
1909-05-21	10	48.87	-127.94	wsw3/8w		9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8668			281	305	8	30.34	47	bc				
1909-05-21	11	48.88	-128.17	wsw3/8w		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8835			281	305	13	30.34	47	bc				
1909-05-21	12	48.9	-128.4	wsw3/8w		9.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48 54N			281	305	13	30.34	47	bc				
1909-05-21	13	48.9	-128.63	wsw3/8w		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8966			281	305	13	30.24	48	bc				
1909-05-21	14	48.89	-128.87	wsw3/8w		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8932			281	305	13	30.24	48	bc				
1909-05-21	15	48.89	-129.1	wsw3/8w		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8898			281	305	13	30.26	48	bc				
1909-05-21	16	48.89	-129.33	wsw3/8w		8.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8862			281	305	19	30.26	48	bc				
1909-05-21	17	48.88	-129.57	wsw3/8w		9.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8836			292	316	19	30.28	48	bc				
1909-05-21	18	48.88	-129.82	wsw3/8w		9.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.881			292	318	19	30.28	48	bc				
1909-05-21	19	48.88	-130.07	wsw3/8w		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.8789			292	318	19	30.30	48	oc				
1909-05-21	20	48.88	-130.4	wsw3/8w		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48 53N			292	318	19	30.31	48	oc				
1909-05-21	21	48.91	-130.62	wsw3/8w		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.9098			292	318	19	30.31	47	oc				
1909-05-21	22	48.94	-130.85	wsw3/8w		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.9366			292	318	13	30.32	46	oc				
1909-05-21	23	48.96	-131.07	wsw3/8w		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.9633			292	318	13	30.32	46	oc				
1909-05-21	24	48.99	-131.29	wsw3/8w		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0147.JPG	 			48.9893			292	318	13	30.32	46	oc				
1909-05-22	1	49.02	-131.51	wsw3/8w		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0148.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0148.JPG	 			49.0158			292	318	8	30.30	46	oc				
1909-05-22	2	49.04	-131.73	wsw3/8w		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0148.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0148.JPG	 			49.0419			292	318	5	30.30	46	oc				
1909-05-22	3	49.07	-131.95	wsw3/8w		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0148.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/38/4056/24405638/content/dc-metro/rg-026/585454/0001-A1/Manning-1909/Manning-1909_0148.JPG	 			49.0685			292	318	5	30.30	46	oc				
