YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Ships	Orig Baro
1867-01-02	21	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						0	0	0				cr		
1867-01-02	22	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						315	299	5				bc		
1867-01-02	23	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	8				bc		
1867-01-02	24	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	8	30.42	47		bc		30.42
1867-01-03	1	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	9	30.42	42		obc		30.42
1867-01-03	2	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	9	30.42	42		obc		30.42
1867-01-03	3	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	9	30.42	42		obc		30.42
1867-01-03	4	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						360	344	9	30.42	42		obc		30.42
1867-01-03	5	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						0	0	0	30.45	42				30.45
1867-01-03	6	43.30	5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-009/581208-ticonderoga-009-004.JPG	 						0	0	0	30.45	42				30.45
