YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1882-01-02	12	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	"Noon: New Orleans, Louisiana"						68	74	3	30.27	52	54	49		bc	cir cum	5		
1882-01-02	13	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						23	29	3	30.25	54	57	51		bc	cir str	5		
1882-01-02	14	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						68	74	2	30.25	57	59	52		bc	cir str	5		
1882-01-02	15	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						68	74	2	30.25	56	58	52		bc	cir str	4		
1882-01-02	16	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						23	29	2	30.25	57	57	51		bc	cir cum	4		
1882-01-02	17	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						79	85	2	30.22	53	55	50		bc	cir cum	4		
1882-01-02	18	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						79	85	2	30.22	51	52	49		bc	cir cum	8		
1882-01-02	19	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						135	141	2	30.25	59	54	49		bc	cir cum	9		
1882-01-02	20	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						135	141	2	30.27	60	52	47		b		10		
1882-01-02	21	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0022.JPG	 						135	141	2	30.27	60	52	48		bcz		10		
