YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount
1914-01-02	11	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	12	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	Noon: Sausalito						180	198	13	29.93	55	52	50	bc	S-Cu	9
1914-01-02	13	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	14	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	13	29.94	55	53	50	bc	S-Cu	9
1914-01-02	15	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	16	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	13	29.94	54	52	50	oc	S-Cu	10
1914-01-02	17	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	18	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	8	30	54	53	50	oc	S-Cu	10
1914-01-02	19	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	20	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	8	30.03	54	53	50	bc	S-Cu	7
1914-01-02	21	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	22	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						158	176	2	30.06	53	52	50	bc	S-Cu	6
1914-01-02	23	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	24	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						0	0	0	30.07	53	52	50	bc	S-Cu	3
1914-01-03	1	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0009.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0009.JPG	 															
1914-01-03	2	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0009.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0009.JPG	 						0	0	0	30.07	53	52	50	bc	S-Cu	7
1914-01-03	3	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0009.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0009.JPG	 															
