YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	Flora&Fauna	People	Ships	Other		
1921-01-03	13	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356																	
1921-01-03	14	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356		135	159	5	29.78	45		51	O	As	10						
1921-01-03	15	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356																	
1921-01-03	16	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356		135	159	13	29.70	45		51	O	As	10						
1921-01-03	17	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356																	
1921-01-03	18	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356		135	159	13	29.71	45		51	O	As	10						
1921-01-03	19	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356																	
1921-01-03	20	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356		135	159	13	29.76	45		51	O	As	10						
1921-01-03	21	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356																	
1921-01-03	22	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356		135	159	8	29.77	45		51	O	As	10						
1921-01-03	23	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356																	
1921-01-03	24	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0005.JPG	 			47.615	-122.356		135	159	2	29.82	45		51	O	As	10						
1921-01-04	1	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356																	
1921-01-04	2	47.62	-122.36			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/35/6979/23697935/content/dc-metro/rg-026/585454/0002/Bear-b361-1921/Bear-b361-1921_0007.JPG	 			47.615	-122.356		135	159	2	29.82	45		51	O	As	10						
