YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	TSI	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1954-01-02	12	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.14	59	57		3	ST			15	220	9	2			
1954-01-02	13	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.12	63	58		3	ST			15	230	9	2			
1954-01-02	14	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						230	2	30.12	63	58		3	ST			15	230	9	2			
1954-01-02	15	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						200	2	30.12	60	56		3	ST			15	230	9	2			
1954-01-02	16	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						200	2	30.12	59	56		3	ST			15	230	9	2			
1954-01-02	17	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						200	2	30.14	59	52		3	ST			15	230	9	2			
1954-01-02	18	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						200	2	30.14	52	51		3	ST			15	230	9	2			
1954-01-02	19	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						200	2	30.14	51	50		3	ST			15	200	9	2			
1954-01-02	20	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						200		30.13	48	47		3	ST			15	220	9	1			
1954-01-02	21	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0008.jpg	 						185		30.12	47	46		3	ST			15	85	9	1			
