YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other
1891-01-02	20	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	 						292	290	5	30.37	50	43	42		ocp	nimb	0			
1891-01-02	21	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	 						292	290	5	30.38	50	43	42		oc	nimb	0			
1891-01-02	22	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	 						292	290	5	30.40	50	42	41		oc	nimb	0			
1891-01-02	23	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	 						292	290	5	30.41	50	41	41		oc	nimb	0			
1891-01-02	24	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-052.JPG	 						292	290	8	30.41	50	41	40		oc	nimb	0			
1891-01-03	1	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	 						292	290	5	30.41	50	41	40		oc	cum	0			
1891-01-03	2	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	 						292	290	5	30.41	48	41	40		oc	cum	0			
1891-01-03	3	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	 						292	290	5	30.41	46	40	39		oc	cum	0			
1891-01-03	4	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	 						315	313	5	30.41	46	40	39		oc	cum	0			
1891-01-03	5	31.24	121.49		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-032/581208-omaha-032-053.JPG	 						292	290	5	30.41	44	39	38		oc	cum	0			
