YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	Ships	Other
1886-01-03	1	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		90	104	2	29.92	64	60	58		bmw	none	10			
1886-01-03	2	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		360	14	2	29.92	64	60	58		bmw	none	10			
1886-01-03	3	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		360	14	2	29.92	63	60	58		bmw	none	10			
1886-01-03	4	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		360	14	2	29.92	62	59	57		bcmw	cum str	8			
1886-01-03	5	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		0	0	0	29.92	61	59	57		bcmw	cum	7			
1886-01-03	6	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		0	0	0	29.95	60	59	58		bcmf	cum	2			
1886-01-03	7	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		135	149	5	29.95	60	61	60		omf	cum	0			
1886-01-03	8	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		315	329	2	29.95	60	60	58		omf	cum	0			
1886-01-03	9	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		315	329	5	29.96	60	61	59		bm	cum	8			
1886-01-03	10	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-071.JPG	 			-29.95	-71.33		315	329	6	29.97	62	63	60		bm	cum	9			
