YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1923-01-02	16	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					284	270	272	5	29.95		82	82		bce	cun	270	9				
1923-01-02	17	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					296	270	272	5	29.98		79	79		bcy	cun	270	8				
1923-01-02	18	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					295	270	272	2	29.98		79	79		bcu	cun	270	6				
1923-01-02	19	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					297	270	272	2	30.00		80	78		bc	cicu	270	6				
1923-01-02	20	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					298	270	272	2	30.02		80	80		bc	cicu	270	6				
1923-01-02	21	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					300	270	272	2	30.04		80	80		bc	cicu	270	8				
1923-01-02	22	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					280	270	272	2	30.06		79	79		bc	cicu	270	8				
1923-01-02	23	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					280	225	227	2	30.04		78	79		bc	cicu	225	9				
1923-01-02	24	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					280	225	227	2	30.04		78	78		bc	cicu	225	9				
1923-01-03	1	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_012.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_012.jpg	 					287	315	317	1	30.03		77	77		bc	cicu	315	9				
1923-01-03	2	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_012.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_012.jpg	 					284	315	317	1	30.02		77	77		bc	cicu	315	9				
1923-01-03	3	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_012.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_012.jpg	 					290	225	227	1	30.01		77	77		bc	cicu	270	9				
