YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	From	Amount	VisM	Ships
1950-01-03	1	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	2	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	3	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	4	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 						0	0	0	30.32	17	17	b				50	
1950-01-03	5	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	6	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	7	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	8	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 						191	214	5	30.38	17	17	OS	NS ST	225	10	4	
1950-01-03	9	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
1950-01-03	10	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0007.JPG	 																	
