YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather		
1864-02-04	24	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									30.00	60				
1864-02-05	1	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	13						
1864-02-05	2	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	3	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	4	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									29.97	61				
1864-02-05	5	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	13				h		
1864-02-05	6	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	7	33.95	-77.82	360		3.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	0745: Anchored. Near buoy.														
1864-02-05	8	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									29.98	56				
1864-02-05	9	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						180	180	5				f		
1864-02-05	10	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	11	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	12	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									29.92	56				
1864-02-05	13	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						203	203	5				b		
1864-02-05	14	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	15	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	16	33.95	-77.82			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	1645: Got Underway. cc S.									29.85	60				
1864-02-05	17	33.93	-77.82	180		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	5						
1864-02-05	18	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	1800: Cruising on station.									29.84	60				
1864-02-05	19	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	5						
1864-02-05	20	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									29.88	64				
1864-02-05	21	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 						225	225	5						
1864-02-05	22	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	23	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 														
1864-02-05	24	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-128.JPG	 									29.88	56				
1864-02-06	1	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	 						135	135	5						
1864-02-06	2	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	 														
1864-02-06	3	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	 														
1864-02-06	4	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	0400: Cruising and drifting on station.									30.00	58				
1864-02-06	5	33.93	-77.82	360		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	 						225	225	2						
1864-02-06	6	33.90	-77.82	180		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-129.JPG	 														
